Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	AHR	Exception
1	Spectrogram 1	1	3.252000	3.716000	4000.000000	18000.000000	8000.000000	Trill	5.166963	-37.683115	49.153249	1
2	Spectrogram 1	1	7.410000	7.850000	4000.000000	18000.000000	8000.000000	Trillphee	13.952902	-37.283296	67.525132	0
3	Spectrogram 1	1	28.656000	28.886000	4000.000000	18000.000000	8000.000000	Trill	17.164710	-32.964031	69.583599	0
4	Spectrogram 1	1	28.914000	28.994000	4000.000000	18000.000000	8000.000000	Trill	18.853984	-35.574833	50.648784	0
5	Spectrogram 1	1	30.396000	30.482000	4000.000000	18000.000000	8000.000000	Trill	7.617551	-40.201804	31.268875	3
6	Spectrogram 1	1	35.472000	35.984000	4000.000000	18000.000000	8000.000000	Trillphee	17.275449	-31.518820	98.375980	0
7	Spectrogram 1	1	36.012000	36.260000	4000.000000	18000.000000	8000.000000	Trillphee	16.159834	-29.766230	117.057033	0
8	Spectrogram 1	1	48.396000	48.470000	4000.000000	18000.000000	8000.000000	Trill	13.270324	-37.567820	47.325617	0
9	Spectrogram 1	2	10.230000	10.316000	4000.000000	18000.000000	8000.000000	Trill	5.635051	-40.319150	32.054311	1
10	Spectrogram 1	2	16.008000	16.196000	4000.000000	18000.000000	8000.000000	Trill	6.310001	-39.535921	30.553643	3
11	Spectrogram 1	2	16.236000	16.376000	4000.000000	18000.000000	8000.000000	Trill	5.642767	-39.286556	35.319292	1
12	Spectrogram 1	2	26.190000	26.240000	4000.000000	18000.000000	8000.000000	Trill	8.122008	-40.238732	39.837496	0
13	Spectrogram 1	2	27.102000	27.164000	4000.000000	18000.000000	8000.000000	Trill	11.301316	-41.343510	31.634924	3
14	Spectrogram 1	2	32.322000	32.414000	4000.000000	18000.000000	8000.000000	Trill	11.342184	-39.172192	42.183728	0
15	Spectrogram 1	2	32.502000	32.576000	4000.000000	18000.000000	8000.000000	Trill	10.890261	-38.981281	53.467222	0
16	Spectrogram 1	2	33.480000	33.560000	4000.000000	18000.000000	8000.000000	Trill	10.498439	-39.480109	36.607173	0
17	Spectrogram 1	2	33.678000	33.758000	4000.000000	18000.000000	8000.000000	Trill	11.474808	-39.012019	39.666921	0
18	Spectrogram 1	2	33.906000	33.980000	4000.000000	18000.000000	8000.000000	Trill	10.219040	-40.682380	31.055507	3
19	Spectrogram 1	2	34.146000	34.220000	4000.000000	18000.000000	8000.000000	Trill	10.418762	-40.240442	31.941333	3
20	Spectrogram 1	2	34.356000	34.442000	4000.000000	18000.000000	8000.000000	Trill	10.787004	-39.744662	34.676435	0
21	Spectrogram 1	2	34.584000	34.676000	4000.000000	18000.000000	8000.000000	Trill	11.767574	-38.986884	48.678543	0
22	Spectrogram 1	2	34.794000	34.856000	4000.000000	18000.000000	8000.000000	Trill	6.614246	-39.520087	38.899773	0
23	Spectrogram 1	2	34.956000	35.018000	4000.000000	18000.000000	8000.000000	Trill	12.224562	-38.586768	50.202548	0
24	Spectrogram 1	2	46.992000	47.042000	4000.000000	18000.000000	8000.000000	Trill	5.909582	-40.048890	34.399995	1
25	Spectrogram 1	3	11.418000	11.936000	4000.000000	18000.000000	8000.000000	Trillphee	9.318911	-38.538984	61.498953	0
26	Spectrogram 1	4	10.848000	10.946000	4000.000000	18000.000000	8000.000000	Trill	8.701203	-39.536015	48.045530	0
27	Spectrogram 1	4	13.974000	14.198000	4000.000000	18000.000000	8000.000000	Trill	10.016596	-41.332145	42.905114	0
28	Spectrogram 1	4	32.196000	32.390000	4000.000000	18000.000000	8000.000000	Trill	8.961766	-41.537082	35.102275	0
29	Spectrogram 1	4	34.764000	34.976000	4000.000000	18000.000000	8000.000000	Trill	9.686488	-39.588190	50.587243	0
30	Spectrogram 1	4	45.048000	45.152000	4000.000000	18000.000000	8000.000000	Trill	11.050339	-41.209291	40.419796	0
