Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	Energy Diff	Energy Par	Exception
1	Spectrogram 1	2	8.484000	8.600000	4000.000000	18000.000000	8000.000000	Trill	14.463213	-33.714369	0
2	Spectrogram 1	2	8.628000	8.690000	4000.000000	18000.000000	8000.000000	Trill	16.705951	-36.627954	0
3	Spectrogram 1	2	10.440000	10.526000	4000.000000	18000.000000	8000.000000	Twitter	3.954816	-27.807368	1
4	Spectrogram 1	2	10.572000	10.658000	4000.000000	18000.000000	8000.000000	Twitter	4.358943	-28.458800	1
5	Spectrogram 1	2	10.692000	10.796000	4000.000000	18000.000000	8000.000000	Twitter	5.641180	-27.971602	0
6	Spectrogram 1	2	10.818000	10.886000	4000.000000	18000.000000	8000.000000	Twitter	9.287214	-28.982879	0
7	Spectrogram 1	2	10.956000	10.988000	4000.000000	18000.000000	8000.000000	Twitter	15.966970	-31.781022	0
8	Spectrogram 1	2	21.402000	21.566000	4000.000000	18000.000000	8000.000000	Trill	13.264611	-34.396765	0
9	Spectrogram 1	2	27.978000	28.160000	4000.000000	18000.000000	8000.000000	Trill	10.603611	-34.977943	0
10	Spectrogram 1	2	48.186000	48.482000	4000.000000	18000.000000	8000.000000	Trill	7.395975	-35.675791	0
11	Spectrogram 1	2	68.928000	69.158000	4000.000000	18000.000000	8000.000000	Trill	7.067260	-37.239307	0
12	Spectrogram 1	2	78.900000	78.938000	4000.000000	18000.000000	8000.000000	Trill	8.505468	-34.917570	0
13	Spectrogram 1	2	132.562000	132.840000	4000.000000	18000.000000	8000.000000	Trill	6.847037	-34.261516	0
14	Spectrogram 1	2	178.114000	178.488000	4000.000000	18000.000000	8000.000000	Trill	4.053583	-35.379556	1
15	Spectrogram 1	2	182.164000	182.436000	4000.000000	18000.000000	8000.000000	Trill	8.121061	-35.250284	0
16	Spectrogram 1	2	194.566000	194.682000	4000.000000	18000.000000	8000.000000	Trill	8.120815	-34.963968	0
17	Spectrogram 1	2	210.098000	210.328000	4000.000000	18000.000000	8000.000000	Trill	11.599476	-33.684968	0
18	Spectrogram 1	2	215.078000	215.248000	4000.000000	18000.000000	8000.000000	Trill	4.697829	-33.094076	1
19	Spectrogram 1	2	215.348000	215.410000	4000.000000	18000.000000	8000.000000	Twitter	4.431239	-29.347032	1
20	Spectrogram 1	2	215.480000	215.542000	4000.000000	18000.000000	8000.000000	Twitter	3.926162	-26.385285	1
21	Spectrogram 1	2	215.606000	215.680000	4000.000000	18000.000000	8000.000000	Twitter	3.912459	-27.118257	1
22	Spectrogram 1	2	215.846000	215.932000	4000.000000	18000.000000	8000.000000	Twitter	3.948472	-27.917429	1
23	Spectrogram 1	2	215.972000	216.034000	4000.000000	18000.000000	8000.000000	Twitter	4.036772	-27.627060	1
