Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type
1	Spectrogram 1	1	135.906	136.265	4000.0	18000.0	7226.6	Trill
2	Spectrogram 1	1	141.639	141.861	4000.0	18000.0	6250.0	Trill
3	Spectrogram 1	1	151.591	152.868	4000.0	18000.0	7812.5	Trillphee
4	Spectrogram 1	1	174.919	176.202	4000.0	18000.0	7617.2	Trillphee
5	Spectrogram 1	1	184.767	184.970	4000.0	18000.0	7617.2	Trill
6	Spectrogram 1	1	185.949	187.079	1776.0	12568.3	7617.2	Trillphee
7	Spectrogram 1	1	187.108	187.167	5191.3	9836.1	7812.5	Phee
8	Spectrogram 1	1	211.377	212.252	4000.0	18000.0	8398.4	Trillphee
9	Spectrogram 1	1	246.631	246.945	136.6	18442.6	8203.1	Trill
10	Spectrogram 1	1	253.055	253.097	3688.5	12704.9	8984.4	Twitter
11	Spectrogram 1	1	253.208	253.280	4000.0	18000.0	7617.2	Twitter
12	Spectrogram 1	1	253.364	253.427	4000.0	18000.0	7421.9	Twitter
13	Spectrogram 1	1	253.515	253.587	1639.3	11612.0	7421.9	Twitter
14	Spectrogram 1	1	253.659	253.750	3688.5	9562.8	7031.2	Twitter
15	Spectrogram 1	1	256.285	256.510	0.0	17896.2	195.3	Trill
16	Spectrogram 1	1	256.680	257.405	4000.0	18000.0	7617.2	Phee
17	Spectrogram 1	1	276.203	276.882	4000.0	18000.0	7812.5	Phee
18	Spectrogram 1	1	300.990	301.251	4000.0	18000.0	7031.2	Trill
19	Spectrogram 1	1	316.241	316.633	4000.0	18000.0	10937.5	Trill
20	Spectrogram 1	1	333.728	335.244	4000.0	18000.0	7617.2	Trillphee
21	Spectrogram 1	1	343.753	344.067	4000.0	18000.0	6835.9	Trill
22	Spectrogram 1	1	348.455	348.746	4000.0	18000.0	6835.9	Trill
23	Spectrogram 1	1	354.365	354.604	1912.6	11065.6	7031.2	Trill
24	Spectrogram 1	1	354.816	355.038	3688.5	10382.5	7617.2	Phee
25	Spectrogram 1	1	355.064	355.338	3825.1	9972.7	7617.2	Phee
26	Spectrogram 1	1	355.371	355.453	4644.8	9972.7	7812.5	Phee
27	Spectrogram 1	1	355.515	355.567	3961.7	9426.2	7812.5	Phee
28	Spectrogram 1	1	362.848	363.586	2049.2	11065.6	7617.2	Phee
29	Spectrogram 1	1	363.645	363.723	4371.6	10109.3	7812.5	Phee
30	Spectrogram 1	1	389.988	390.200	2049.2	12704.9	8203.1	Trill
31	Spectrogram 1	1	390.382	391.180	4000.0	18000.0	7617.2	Phee
32	Spectrogram 1	1	397.703	397.840	4000.0	18000.0	7421.9	Trill
33	Spectrogram 1	1	401.137	401.411	4000.0	18000.0	7812.5	Trill
34	Spectrogram 1	1	455.550	455.886	1776.0	11202.2	7617.2	Trill
35	Spectrogram 1	1	457.069	458.212	4000.0	18000.0	7812.5	Trillphee
36	Spectrogram 1	1	462.420	462.652	4000.0	18000.0	7421.9	Trill
37	Spectrogram 1	1	547.372	547.536	4000.0	18000.0	7812.5	Trill
38	Spectrogram 1	1	547.591	548.532	4000.0	18000.0	7617.2	Phee
39	Spectrogram 1	1	621.641	621.854	2322.4	11612.0	7617.2	Trill
40	Spectrogram 1	1	621.955	622.233	1366.1	12704.9	7421.9	Phee
41	Spectrogram 1	1	622.265	622.327	3961.7	10382.5	7617.2	Phee
42	Spectrogram 1	1	622.422	622.477	3551.9	9699.5	7617.2	Phee
43	Spectrogram 1	1	622.549	622.595	4371.6	9699.5	7617.2	Phee
44	Spectrogram 1	1	792.880	794.483	4000.0	18000.0	7617.2	Trillphee
45	Spectrogram 1	1	810.645	811.736	4000.0	18000.0	7617.2	Trillphee
46	Spectrogram 1	1	811.772	811.853	5191.3	9426.2	7617.2	Phee
47	Spectrogram 1	1	822.067	823.550	4000.0	18000.0	7812.5	Trillphee
48	Spectrogram 1	1	832.711	834.177	4000.0	18000.0	7617.2	Trillphee
49	Spectrogram 1	1	853.430	854.906	4000.0	18000.0	7812.5	Trillphee
50	Spectrogram 1	1	885.868	887.007	4000.0	18000.0	7617.2	Trillphee
51	Spectrogram 1	1	937.995	938.270	4000.0	18000.0	11914.1	Trill
52	Spectrogram 1	1	939.573	939.623	3929.0	17929.0	8984.4	Twitter
53	Spectrogram 1	1	939.722	939.780	1229.5	16120.2	7226.6	Twitter
54	Spectrogram 1	1	939.852	939.901	546.4	15983.6	7617.2	Twitter
55	Spectrogram 1	1	939.976	940.029	0.0	15983.6	7617.2	Twitter
56	Spectrogram 1	1	940.097	940.143	136.6	11202.2	7617.2	Twitter
57	Spectrogram 1	1	940.215	940.260	0.0	10929.0	7617.2	Twitter
58	Spectrogram 1	1	940.336	940.378	0.0	11338.8	7226.6	Twitter
59	Spectrogram 1	1	940.476	940.492	1912.6	9016.4	7031.2	Twitter
60	Spectrogram 1	1	943.028	943.380	4000.0	18000.0	6445.3	Trill
61	Spectrogram 1	1	975.362	975.581	1776.0	10792.3	7812.5	Trill
62	Spectrogram 1	1	975.650	976.169	4000.0	18000.0	7617.2	Phee
63	Spectrogram 1	1	980.455	981.679	4000.0	18000.0	7617.2	Trillphee
64	Spectrogram 1	1	989.706	990.940	4000.0	18000.0	7421.9	Trillphee
65	Spectrogram 1	1	1001.874	1001.920	3005.5	9016.4	7421.9	Phee
66	Spectrogram 1	1	1001.962	1002.142	2322.4	9836.1	7421.9	Phee
67	Spectrogram 1	1	1002.165	1002.684	2732.2	9972.7	7421.9	Phee
68	Spectrogram 1	1	1002.710	1002.772	3825.1	9426.2	7617.2	Phee
69	Spectrogram 1	1	1002.805	1002.864	4508.2	9153.0	7617.2	Phee
70	Spectrogram 1	1	1082.990	1083.375	4000.0	18000.0	7226.6	Trill
71	Spectrogram 1	1	1084.806	1085.064	4000.0	18000.0	6445.3	Trill
72	Spectrogram 1	1	1108.144	1108.393	4000.0	18000.0	7031.2	Trill
73	Spectrogram 1	1	1114.747	1115.122	4000.0	18000.0	7031.2	Trill
74	Spectrogram 1	1	1115.993	1117.132	4000.0	18000.0	7617.2	Trillphee
75	Spectrogram 1	1	1129.891	1129.982	4000.0	18000.0	7617.2	Trill
76	Spectrogram 1	1	1130.106	1130.250	3415.3	10109.3	7421.9	Phee
77	Spectrogram 1	1	1130.273	1131.249	2868.9	10655.7	7421.9	Phee
78	Spectrogram 1	1	1131.282	1131.347	4918.0	9836.1	7421.9	Phee
79	Spectrogram 1	1	1135.372	1135.634	4000.0	18000.0	7031.2	Trill
80	Spectrogram 1	1	1146.599	1146.850	4000.0	18000.0	7226.6	Trill
81	Spectrogram 1	1	1240.066	1240.517	3551.9	10519.1	7812.5	Trill
82	Spectrogram 1	1	1240.559	1241.147	4000.0	18000.0	8007.8	Phee
83	Spectrogram 1	1	1244.036	1244.200	4000.0	18000.0	4687.5	Trill
84	Spectrogram 1	1	1254.962	1255.250	2459.0	10655.7	7226.6	Trill
85	Spectrogram 1	1	1256.200	1256.373	2732.2	11202.2	7812.5	Trill
86	Spectrogram 1	1	1256.416	1257.177	3551.9	10792.3	7617.2	Phee
87	Spectrogram 1	1	1263.278	1263.644	4000.0	18000.0	7031.2	Trill
88	Spectrogram 1	1	1270.758	1270.963	4000.0	18000.0	8398.4	Trill
89	Spectrogram 1	1	1277.465	1277.498	1092.9	22131.1	9765.6	Sd-peep
90	Spectrogram 1	1	1277.599	1277.645	0.0	15027.3	5078.1	Trill
91	Spectrogram 1	1	1277.677	1277.716	0.0	14207.7	5664.1	Trill
92	Spectrogram 1	1	1277.733	1277.788	4000.0	18000.0	4687.5	Trill
93	Spectrogram 1	1	1286.322	1286.521	4000.0	18000.0	8007.8	Trill
94	Spectrogram 1	1	1290.722	1291.006	4000.0	18000.0	5078.1	Trill
95	Spectrogram 1	1	1297.686	1297.925	4000.0	18000.0	6835.9	Trill
96	Spectrogram 1	1	1342.142	1343.200	4000.0	18000.0	7812.5	Trillphee
97	Spectrogram 1	1	1363.079	1363.448	4000.0	18000.0	12109.4	Trill
98	Spectrogram 1	1	1383.281	1383.314	0.0	22814.2	10156.2	Sd-peep
99	Spectrogram 1	1	1383.448	1383.624	4000.0	18000.0	5664.1	Trill
100	Spectrogram 1	1	1409.454	1409.686	4000.0	18000.0	7812.5	Trill
101	Spectrogram 1	1	1425.095	1425.366	4000.0	18000.0	7617.2	Trill
102	Spectrogram 1	1	1426.102	1426.412	4000.0	18000.0	12500.0	Trill
103	Spectrogram 1	1	1434.662	1434.972	4000.0	18000.0	5078.1	Trill
104	Spectrogram 1	1	1441.809	1442.100	4000.0	18000.0	8593.7	Trill
105	Spectrogram 1	1	1443.935	1444.320	4000.0	18000.0	5078.1	Trill
106	Spectrogram 1	1	1446.427	1446.655	4000.0	18000.0	5078.1	Trill
107	Spectrogram 1	1	1449.069	1449.360	4000.0	18000.0	4687.5	Trill
108	Spectrogram 1	1	1461.873	1462.343	4000.0	18000.0	7421.9	Trill
109	Spectrogram 1	1	1468.124	1468.375	4000.0	18000.0	4687.5	Trill
110	Spectrogram 1	1	1473.469	1473.655	4000.0	18000.0	7421.9	Trill
111	Spectrogram 1	1	1474.769	1475.134	4000.0	18000.0	8593.7	Trill
112	Spectrogram 1	1	1476.371	1476.485	4235.0	11338.8	8203.1	Sa-peep
113	Spectrogram 1	1	1476.574	1477.432	4000.0	18000.0	7617.2	Phee
114	Spectrogram 1	1	1497.078	1497.407	4000.0	18000.0	7421.9	Trill
115	Spectrogram 1	1	1500.301	1500.523	4000.0	18000.0	7812.5	Trill
116	Spectrogram 1	1	1500.718	1501.267	4000.0	18000.0	7617.2	Phee
117	Spectrogram 1	1	1505.510	1506.572	4000.0	18000.0	7617.2	Trillphee
118	Spectrogram 1	1	1509.481	1509.801	4000.0	18000.0	10351.6	Trill
119	Spectrogram 1	1	1525.060	1525.308	4000.0	18000.0	8203.1	Trill
120	Spectrogram 1	1	1531.699	1532.815	4000.0	18000.0	7617.2	Trillphee
121	Spectrogram 1	1	1543.424	1543.779	4000.0	18000.0	8007.8	Trill
122	Spectrogram 1	1	1558.554	1558.809	4000.0	18000.0	5078.1	Trill
123	Spectrogram 1	1	1575.070	1575.583	4000.0	18000.0	7421.9	Trill
124	Spectrogram 1	1	1591.120	1591.444	4000.0	18000.0	7226.6	Trill
125	Spectrogram 1	1	1593.894	1595.007	4000.0	18000.0	7812.5	Trillphee
126	Spectrogram 1	1	1598.768	1598.851	4000.0	18000.0	8593.7	Twitter
127	Spectrogram 1	1	1598.953	1599.021	2732.2	16393.4	7617.2	Twitter
128	Spectrogram 1	1	1599.099	1599.158	819.7	15300.5	7812.5	Twitter
129	Spectrogram 1	1	1599.237	1599.302	409.8	16256.8	7421.9	Twitter
130	Spectrogram 1	1	1599.367	1599.436	0.0	16803.3	7617.2	Twitter
131	Spectrogram 1	1	1599.517	1599.576	0.0	16120.2	7226.6	Twitter
132	Spectrogram 1	1	1619.064	1619.857	4000.0	18000.0	8007.8	Phee
133	Spectrogram 1	1	1631.547	1631.841	4000.0	18000.0	9375.0	Trill
134	Spectrogram 1	1	1684.494	1684.710	4000.0	18000.0	7617.2	Trill
135	Spectrogram 1	1	1727.948	1728.196	956.3	15437.2	7812.5	Trill
136	Spectrogram 1	1	1728.882	1729.159	4000.0	18000.0	7226.6	Trill
137	Spectrogram 1	1	1734.152	1734.547	4000.0	18000.0	7421.9	Trill
138	Spectrogram 1	1	1741.452	1741.750	4000.0	18000.0	8007.8	Trill
139	Spectrogram 1	1	1746.415	1747.404	4000.0	18000.0	8203.1	Trillphee
140	Spectrogram 1	1	1751.498	1751.851	4000.0	18000.0	11328.1	Trill
141	Spectrogram 1	1	1759.207	1759.478	4000.0	18000.0	7226.6	Trill
142	Spectrogram 1	1	1778.583	1778.766	4000.0	18000.0	7812.5	Trill
143	Spectrogram 1	1	1781.770	1782.057	4000.0	18000.0	7031.2	Trill
144	Spectrogram 1	1	1785.065	1786.159	4000.0	18000.0	7812.5	Trillphee
145	Spectrogram 1	1	1801.420	1802.168	4000.0	18000.0	7812.5	Trillphee
146	Spectrogram 1	1	1802.198	1802.263	3961.7	10519.1	7812.5	Phee
147	Spectrogram 1	1	1802.292	1802.436	4508.2	9836.1	7812.5	Phee
148	Spectrogram 1	1	1804.008	1804.253	4000.0	18000.0	8789.1	Trill
149	Spectrogram 1	1	1805.226	1806.477	4000.0	18000.0	7617.2	Trillphee
150	Spectrogram 1	1	1814.529	1814.810	4000.0	18000.0	7031.2	Trill
151	Spectrogram 1	1	1847.936	1848.827	4000.0	18000.0	7421.9	Phee
152	Spectrogram 1	1	1851.080	1851.540	0.0	19125.7	195.3	Trill
153	Spectrogram 1	1	1852.794	1853.868	4000.0	18000.0	7421.9	Trillphee
154	Spectrogram 1	1	1856.370	1856.497	4000.0	18000.0	4687.5	Trill
