Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type
1	Spectrogram 1	3	0.468	0.597	2966.1	16101.7	4882.8	Noise
2	Spectrogram 1	3	0.712	2.444	1694.9	17372.9	10156.2	Noise
3	Spectrogram 1	3	3.027	5.227	2542.4	21822.0	7226.6	Noise
4	Spectrogram 1	4	0.056	2.559	2542.4	18008.5	8203.1	Noise
5	Spectrogram 1	4	2.992	4.928	847.5	16737.3	7421.9	Noise
6	Spectrogram 1	4	6.128	8.459	2966.1	19279.7	7617.2	Noise
7	Spectrogram 1	3	8.538	9.887	2542.4	18644.1	9960.9	Noise
8	Spectrogram 1	4	8.539	9.921	3178.0	21822.0	10351.6	Noise
9	Spectrogram 1	3	10.324	12.606	2542.4	19067.8	7617.2	Noise
10	Spectrogram 1	4	10.326	12.609	423.7	20550.8	585.9	Noise
11	Spectrogram 1	3	12.772	16.801	0.0	17161.0	195.3	Noise
12	Spectrogram 1	4	12.760	16.878	635.6	18220.3	8789.1	Noise
13	Spectrogram 1	4	17.077	23.567	847.5	18220.3	8007.8	Noise
14	Spectrogram 1	3	25.447	30.802	0.0	19915.3	195.3	Noise
15	Spectrogram 1	4	23.789	33.154	0.0	18644.1	195.3	Noise
16	Spectrogram 1	4	33.570	46.742	1483.1	18220.3	9570.3	Noise
17	Spectrogram 1	3	35.306	42.044	2966.1	18432.2	10156.2	Noise
18	Spectrogram 1	3	43.012	56.316	0.0	18644.1	195.3	Noise
19	Spectrogram 1	4	47.227	59.795	1271.2	19491.5	6835.9	Noise
20	Spectrogram 1	3	56.540	75.935	0.0	19067.8	195.3	Noise
21	Spectrogram 1	4	60.635	76.554	2754.2	17161.0	9570.3	Noise
