Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Max Freq (Hz)	Call Type	From
1	Spectrogram 1	2	0.262	13.942	0.0	20571.4	7421.9	Noise	Table 1
2	Spectrogram 1	2	20.204	22.715	0.0	21000.0	195.3	Noise	Table 1
3	Spectrogram 1	2	27.110	31.645	0.0	18285.7	195.3	Noise	Table 1
4	Spectrogram 1	2	32.507	39.834	0.0	20285.7	195.3	Noise	Table 1
5	Spectrogram 1	2	40.953	52.384	0.0	22571.4	7617.2	Noise	
6	Spectrogram 1	2	57.158	65.328	0.0	21428.6	7421.9	Noise	
7	Spectrogram 1	2	120.294	123.526	0.0	21428.6	3710.9	Noise	
8	Spectrogram 1	2	158.767	168.000	0.0	19571.4	195.3	Noise	
9	Spectrogram 1	2	168.549	181.030	0.0	20428.6	4687.5	Noise	
10	Spectrogram 1	2	181.206	193.864	0.0	21714.3	7421.9	Noise	
11	Spectrogram 1	2	194.730	203.659	0.0	19714.3	4882.8	Noise	
12	Spectrogram 1	2	211.378	211.593	142.9	19714.3	7812.5	Sound	
13	Spectrogram 1	2	333.220	335.028	0.0	14571.4	195.3	Sound	
14	Spectrogram 1	2	345.850	346.403	428.6	14857.1	585.9	Sound	
15	Spectrogram 1	2	384.400	398.239	0.0	19285.7	390.6	Noise	
16	Spectrogram 1	2	429.144	438.000	0.0	20285.7	195.3	Noise	
17	Spectrogram 1	2	525.703	537.462	0.0	20000.0	1562.5	Noise	
18	Spectrogram 1	2	589.593	589.799	0.0	19285.7	195.3	Sound	
19	Spectrogram 1	2	857.365	857.656	0.0	13428.6	195.3	Sound	
20	Spectrogram 1	2	1012.831	1013.609	0.0	13142.9	2148.4	Sound	
21	Spectrogram 1	2	1048.746	1056.111	0.0	16000.0	8398.4	Noise	
22	Spectrogram 1	2	1301.084	1301.299	0.0	9428.6	585.9	Sound	
23	Spectrogram 1	2	1598.711	1599.020	0.0	14571.4	195.3	Sound	
24	Spectrogram 1	2	1766.320	1766.536	0.0	12857.1	195.3	Sound	
25	Spectrogram 1	2	1773.782	1786.394	0.0	18000.0	195.3	Noise	
